start time = Fri Nov 22 08:15:58 2019
Source: file:///fsx/files/
Dest:   ftp://172.31.21.192:50505/home/ubuntu/
  large_file_0  ->  large_file

   2062548992 bytes        94.62 MB/sec avg       110.00 MB/sec inst
   2178940928 bytes        95.37 MB/sec avg       111.00 MB/sec inst
   2294284288 bytes        96.02 MB/sec avg       110.00 MB/sec inst
   2411724800 bytes        96.69 MB/sec avg       112.00 MB/sec inst
   2528116736 bytes        97.27 MB/sec avg       111.00 MB/sec inst
   2644508672 bytes        97.80 MB/sec avg       111.00 MB/sec inst
   2759852032 bytes        98.25 MB/sec avg       110.00 MB/sec inst
   2877292544 bytes        98.39 MB/sec avg       101.82 MB/sec inst
   2995781632 bytes        98.90 MB/sec avg       113.00 MB/sec inst
   3112173568 bytes        99.31 MB/sec avg       111.00 MB/sec inst
   3228565504 bytes        99.68 MB/sec avg       111.00 MB/sec inst
   3343908864 bytes       100.01 MB/sec avg       110.00 MB/sec inst
   3459252224 bytes       100.31 MB/sec avg       110.00 MB/sec inst
   3569352704 bytes       100.45 MB/sec avg       105.00 MB/sec inst
   3685744640 bytes       100.75 MB/sec avg       111.00 MB/sec inst
   3804233728 bytes       101.09 MB/sec avg       113.00 MB/sec inst
   3924819968 bytes       101.47 MB/sec avg       115.00 MB/sec inst
   4041211904 bytes       101.72 MB/sec avg       111.00 MB/sec inst
   4156555264 bytes       101.93 MB/sec avg       110.00 MB/sec inst
   4275044352 bytes       102.21 MB/sec avg       113.00 MB/sec inst
   4392484864 bytes       102.45 MB/sec avg       112.00 MB/sec inst
   4506779648 bytes       102.36 MB/sec avg        99.09 MB/sec inst
   4622123008 bytes       102.54 MB/sec avg       110.00 MB/sec inst
   4739563520 bytes       102.76 MB/sec avg       112.00 MB/sec inst
   4854906880 bytes       102.92 MB/sec avg       110.00 MB/sec inst
   4973395968 bytes       103.14 MB/sec avg       113.00 MB/sec inst
   5089787904 bytes       103.30 MB/sec avg       111.00 MB/sec inst
   5206179840 bytes       103.46 MB/sec avg       111.00 MB/sec inst
   5322571776 bytes       103.62 MB/sec avg       111.00 MB/sec inst
   5440012288 bytes       103.79 MB/sec avg       112.00 MB/sec inst
   5556404224 bytes       103.93 MB/sec avg       111.00 MB/sec inst
   5674893312 bytes       104.10 MB/sec avg       113.00 MB/sec inst
   5790236672 bytes       104.21 MB/sec avg       110.00 MB/sec inst
   5907677184 bytes       104.36 MB/sec avg       112.00 MB/sec inst
   6025117696 bytes       104.50 MB/sec avg       112.00 MB/sec inst
   6140461056 bytes       104.59 MB/sec avg       110.00 MB/sec inst
   6256852992 bytes       104.71 MB/sec avg       111.00 MB/sec inst
   6375342080 bytes       104.67 MB/sec avg       102.73 MB/sec inst
   6490685440 bytes       104.76 MB/sec avg       110.00 MB/sec inst
   6607077376 bytes       104.86 MB/sec avg       111.00 MB/sec inst
   6724517888 bytes       104.98 MB/sec avg       112.00 MB/sec inst
   6840909824 bytes       105.08 MB/sec avg       111.00 MB/sec inst
   6959398912 bytes       105.20 MB/sec avg       113.00 MB/sec inst
   7073693696 bytes       105.26 MB/sec avg       109.00 MB/sec inst
   7190085632 bytes       105.35 MB/sec avg       111.00 MB/sec inst
   7307526144 bytes       105.45 MB/sec avg       112.00 MB/sec inst
   7423918080 bytes       105.53 MB/sec avg       111.00 MB/sec inst
   7541358592 bytes       105.63 MB/sec avg       112.00 MB/sec inst
   7660896256 bytes       105.75 MB/sec avg       114.00 MB/sec inst
   7777288192 bytes       105.82 MB/sec avg       111.00 MB/sec inst
   7893680128 bytes       105.90 MB/sec avg       111.00 MB/sec inst
   8016363520 bytes       105.90 MB/sec avg       106.36 MB/sec inst
   8135901184 bytes       106.02 MB/sec avg       114.00 MB/sec inst
   8251244544 bytes       106.07 MB/sec avg       110.00 MB/sec inst
   8368685056 bytes       106.15 MB/sec avg       112.00 MB/sec inst
   8486125568 bytes       106.22 MB/sec avg       112.00 MB/sec inst
   8602517504 bytes       106.29 MB/sec avg       111.00 MB/sec inst
   8716812288 bytes       106.32 MB/sec avg       109.00 MB/sec inst
   8834252800 bytes       106.39 MB/sec avg       112.00 MB/sec inst
   8949596160 bytes       106.44 MB/sec avg       110.00 MB/sec inst
   9068085248 bytes       106.52 MB/sec avg       113.00 MB/sec inst
   9184477184 bytes       106.57 MB/sec avg       111.00 MB/sec inst
   9301917696 bytes       106.64 MB/sec avg       112.00 MB/sec inst
   9423552512 bytes       106.75 MB/sec avg       116.00 MB/sec inst
   9539944448 bytes       106.80 MB/sec avg       111.00 MB/sec inst
   9655287808 bytes       106.84 MB/sec avg       110.00 MB/sec inst
   9772728320 bytes       106.90 MB/sec avg       112.00 MB/sec inst
   9889120256 bytes       106.94 MB/sec avg       111.00 MB/sec inst
  10005512192 bytes       106.87 MB/sec avg       100.91 MB/sec inst
  10120855552 bytes       106.90 MB/sec avg       110.00 MB/sec inst
  10238296064 bytes       106.96 MB/sec avg       112.00 MB/sec inst
  10353639424 bytes       106.99 MB/sec avg       110.00 MB/sec inst
  10471079936 bytes       107.05 MB/sec avg       112.00 MB/sec inst
  10586423296 bytes       107.08 MB/sec avg       110.00 MB/sec inst
  10701766656 bytes       107.11 MB/sec avg       110.00 MB/sec inst
  10821304320 bytes       107.18 MB/sec avg       114.00 MB/sec inst
  10937696256 bytes       107.22 MB/sec avg       111.00 MB/sec inst
  11055136768 bytes       107.27 MB/sec avg       112.00 MB/sec inst
  11172577280 bytes       107.31 MB/sec avg       112.00 MB/sec inst
  11288969216 bytes       107.35 MB/sec avg       111.00 MB/sec inst
  11408506880 bytes       107.42 MB/sec avg       114.00 MB/sec inst
  11523850240 bytes       107.44 MB/sec avg       110.00 MB/sec inst
  11641290752 bytes       107.38 MB/sec avg       101.82 MB/sec inst
  11757682688 bytes       107.42 MB/sec avg       111.00 MB/sec inst
  11874074624 bytes       107.45 MB/sec avg       111.00 MB/sec inst
  11995709440 bytes       107.53 MB/sec avg       116.00 MB/sec inst
  12114198528 bytes       107.58 MB/sec avg       113.00 MB/sec inst
  12224299008 bytes       107.56 MB/sec avg       105.00 MB/sec inst
  12341739520 bytes       107.60 MB/sec avg       112.00 MB/sec inst
  12462325760 bytes       107.67 MB/sec avg       115.00 MB/sec inst
  12581863424 bytes       107.72 MB/sec avg       114.00 MB/sec inst
  12700352512 bytes       107.77 MB/sec avg       113.00 MB/sec inst
  12816744448 bytes       107.80 MB/sec avg       111.00 MB/sec inst
  12933136384 bytes       107.83 MB/sec avg       111.00 MB/sec inst
  13052674048 bytes       107.88 MB/sec avg       114.00 MB/sec inst
  13171163136 bytes       107.92 MB/sec avg       113.00 MB/sec inst
  13287555072 bytes       107.95 MB/sec avg       111.00 MB/sec inst
  13403947008 bytes       107.98 MB/sec avg       111.00 MB/sec inst
  13520338944 bytes       108.00 MB/sec avg       111.00 MB/sec inst
  13636730880 bytes       108.03 MB/sec avg       111.00 MB/sec inst
  13756268544 bytes       108.08 MB/sec avg       114.00 MB/sec inst
  13873709056 bytes       108.11 MB/sec avg       112.00 MB/sec inst
  13988003840 bytes       108.11 MB/sec avg       109.00 MB/sec inst
  14102298624 bytes       108.12 MB/sec avg       109.00 MB/sec inst
  14218690560 bytes       108.06 MB/sec avg       100.91 MB/sec inst
  14337179648 bytes       108.10 MB/sec avg       113.00 MB/sec inst
  14452523008 bytes       108.11 MB/sec avg       110.00 MB/sec inst
  14571012096 bytes       108.15 MB/sec avg       113.00 MB/sec inst
  14688452608 bytes       108.18 MB/sec avg       112.00 MB/sec inst
  14803795968 bytes       108.19 MB/sec avg       110.00 MB/sec inst
  14926479360 bytes       108.26 MB/sec avg       117.00 MB/sec inst
  15042871296 bytes       108.28 MB/sec avg       111.00 MB/sec inst
  15158214656 bytes       108.29 MB/sec avg       110.00 MB/sec inst
  15274606592 bytes       108.31 MB/sec avg       111.00 MB/sec inst
  15390998528 bytes       108.33 MB/sec avg       111.00 MB/sec inst
  15508439040 bytes       108.36 MB/sec avg       112.00 MB/sec inst
  15625879552 bytes       108.39 MB/sec avg       112.00 MB/sec inst
  15742271488 bytes       108.41 MB/sec avg       111.00 MB/sec inst
  15857614848 bytes       108.42 MB/sec avg       110.00 MB/sec inst
  15976103936 bytes       108.37 MB/sec avg       102.73 MB/sec inst
  16097738752 bytes       108.43 MB/sec avg       116.00 MB/sec inst
  16210984960 bytes       108.42 MB/sec avg       108.00 MB/sec inst
  16327376896 bytes       108.44 MB/sec avg       111.00 MB/sec inst
  16444817408 bytes       108.47 MB/sec avg       112.00 MB/sec inst
  16565403648 bytes       108.51 MB/sec avg       115.00 MB/sec inst
  16682844160 bytes       108.54 MB/sec avg       112.00 MB/sec inst
  16799236096 bytes       108.55 MB/sec avg       111.00 MB/sec inst
  16914579456 bytes       108.56 MB/sec avg       110.00 MB/sec inst
  17035165696 bytes       108.61 MB/sec avg       115.00 MB/sec inst
  17152606208 bytes       108.63 MB/sec avg       112.00 MB/sec inst
  17271095296 bytes       108.66 MB/sec avg       113.00 MB/sec inst
  17391681536 bytes       108.70 MB/sec avg       115.00 MB/sec inst
  17510170624 bytes       108.73 MB/sec avg       113.00 MB/sec inst
  17624465408 bytes       108.73 MB/sec avg       109.00 MB/sec inst
  17741905920 bytes       108.75 MB/sec avg       112.00 MB/sec inst
  17858297856 bytes       108.76 MB/sec avg       111.00 MB/sec inst
  17974689792 bytes       108.71 MB/sec avg       100.91 MB/sec inst
  18090033152 bytes       108.72 MB/sec avg       110.00 MB/sec inst
  18207473664 bytes       108.74 MB/sec avg       112.00 MB/sec inst
  18328059904 bytes       108.78 MB/sec avg       115.00 MB/sec inst
  18446548992 bytes       108.80 MB/sec avg       113.00 MB/sec inst
  18567135232 bytes       108.84 MB/sec avg       115.00 MB/sec inst
  18684575744 bytes       108.86 MB/sec avg       112.00 MB/sec inst
  18799919104 bytes       108.87 MB/sec avg       110.00 MB/sec inst
  18920505344 bytes       108.90 MB/sec avg       115.00 MB/sec inst
  19037945856 bytes       108.92 MB/sec avg       112.00 MB/sec inst
  19152240640 bytes       108.92 MB/sec avg       109.00 MB/sec inst
